steamid,num_games_owned,num_reviews,playtime_forever(min),playtime_last_two_weeks(min),playtime_at_review(min),last_played,recommendationid,language,review,timestamp_created,timestamp_updated,voted_up,votes_up,votes_funny,weighted_vote_score,comment_count,steam_purchase,received_for_free,written_during_early_access,hidden_in_steam_china,steam_china_location,review_length,review_updated
76561198968875530,95,27,1804,0,1804,2022-06-05 23:06:02,137677132,schinese,最近评论里充斥着“我是傻逼”，口给我买这种傻逼评论(最近似乎还多了一种评论区养猫猫牛子精灵大屁股等的骗赞手法)，草拟吗你调侃自己是个傻逼,殊不知在有些人眼里那真是实至名归。操你妈的，挤出两个字写一下游戏感受很难么,你马勒戈壁发个“好玩”也行啊，非得再加几个汉字承认自己傻逼,好像一定要让所有中国人知道一样，但是路人管你傻逼还是脑瘫?路人只想玩游戏,路人只想冲爆，路人只想看正经评论决定游戏适不适合自己。这种吸引眼球的评论咱能不能少点?知道你他吗是在装幽默,老子要是看的每一条缩牛子评论都他妈显灵的话，老子牛子都快缩到脑子下面了。你发这个就是信这个是吧,点赞这条评论，每个发缩牛子评论的杂种牛子缩短1cm,点赞的身体健康，你的牛子已经很完美了，不需要其他外力了，请爱护它。而且这种评论真的很膈应人(这种sb评论为什么总是能上热评啊草他吗的),2023-05-02 21:37:14,2023-05-02 21:37:14,True,0,1,0,0,True,False,False,True,,369,False
76561199433801488,8,6,287,149,245,2023-05-02 22:16:07,137676854,schinese,这个游戏的探索性很强;,2023-05-02 21:33:11,2023-05-02 21:33:11,True,0,0,0,0,True,False,False,True,,11,False
76561199201813218,16,4,314,314,234,2023-05-02 22:56:19,137676719,schinese,999999,2023-05-02 21:30:57,2023-05-02 21:30:57,True,0,0,0,0,True,False,False,True,,6,False
76561198969635997,30,8,25265,65,25234,2023-05-02 21:48:42,137676291,schinese,十周年庆65000科雷点数，本体打一折，这才是活动本来的样子啊。;某些游戏你看看人家（小声）。;这样的游戏你不入手你还在等什么！;今天我就是科雷的狗！,2023-05-02 21:24:45,2023-05-02 21:24:45,True,0,0,0,0,False,False,False,True,,75,False
76561198257585071,56,1,818,60,757,2023-05-03 01:12:25,137676274,schinese,更新版本等半天不动~！,2023-05-02 21:24:17,2023-05-02 21:24:17,False,0,0,0,0,False,False,False,True,,11,False
76561199386448455,3,1,617,617,617,2023-05-01 16:16:39,137676229,schinese,挺好，就是对新手不太友好，太难了,2023-05-02 21:23:08,2023-05-02 21:23:08,True,0,0,0,0,True,False,False,True,,16,False
76561198870624116,2,1,1518,1329,1514,2023-05-02 21:17:31,137675919,schinese,和朋友玩卡死，自己建服务器还是卡死，网络没问题;,2023-05-02 21:15:34,2023-05-02 21:15:34,False,0,0,0,0,False,False,False,True,,24,False
76561198316180566,141,128,7,7,7,2023-05-02 21:03:39,137675771,schinese,四块八买一送一，还有什么好说的？,2023-05-02 21:11:58,2023-05-02 21:11:58,True,0,0,0,0,False,False,False,True,,16,False
76561198849860002,39,2,1134,31,1102,2023-05-02 22:53:01,137675644,schinese,好玩,2023-05-02 21:08:56,2023-05-02 21:08:56,True,0,0,0,0,True,False,False,True,,2,False
76561199096203329,8,1,596,596,482,2023-05-02 23:20:32,137675598,schinese,要多卡有多卡 玩一会儿就稳定掉一次线,2023-05-02 21:07:55,2023-05-02 21:07:55,False,0,0,0.476190477609634399,0,True,False,False,True,,18,False
