steamid,num_games_owned,num_reviews,playtime_forever(min),playtime_last_two_weeks(min),playtime_at_review(min),last_played,recommendationid,language,review,timestamp_created,timestamp_updated,voted_up,votes_up,votes_funny,weighted_vote_score,comment_count,steam_purchase,received_for_free,written_during_early_access,hidden_in_steam_china,steam_china_location,review_length,review_updated,timestamp_dev_responded, developer_response
76561199245251873,67,4,1405,668,1405,2023-05-03 03:01:34,137694023,schinese,放下过去，直面未来,2023-05-03 03:22:13,2023-05-03 03:22:13,True,0,0,0,0,True,False,False,True,,9,False,,
76561198360129053,217,11,1419,1400,1419,2023-05-03 02:06:38,137690970,schinese,通关之后失眠了，久久不能释怀，哎,2023-05-03 02:20:00,2023-05-03 02:20:00,True,0,0,0,0,True,False,False,True,,16,False,,
76561199208915141,32,1,1778,1029,1778,2023-05-03 01:21:51,137688328,schinese,非常好游戏 爱来自中国,2023-05-03 01:23:26,2023-05-03 01:23:26,True,0,0,0,0,True,False,False,True,,12,False,,
76561199480109068,4,1,2905,10,2905,2023-05-02 11:43:22,137679543,schinese,好想失忆掉然后重新玩一遍TTTTTT太喜欢了,2023-05-02 22:15:55,2023-05-02 22:15:55,True,0,0,0,0,True,False,False,True,,22,False,,
76561199000240438,23,1,2110,0,2110,2023-02-14 10:20:05,137634682,schinese,一辈子的精神创伤，好奔溃，游戏真的非常好，但是快跑！无能为力好痛苦，要不要吃西瓜呢哈哈,2023-05-02 02:28:07,2023-05-02 02:28:07,True,0,0,0,0,True,False,False,True,,43,False,,
76561198852303657,419,1,2071,1053,2071,2023-04-27 13:36:09,137613323,schinese,非常非常非常棒的游戏！！！我吹爆！！！玩游戏玩了那么多年第一次遇到这么好的游戏，剧情感人，内容丰富，战斗系统简易美观，多种剧情多种路线以及其他隐藏内容，有一些致郁惊悚内容心理承受能力较差的小可爱们谨慎游玩否则会感到不适！但是剧情真的很感人走出阴影结局我哭了好久呜呜呜。绝对是我2023年来玩过的最棒的神作！！！;顺便表白一下全员，还有SUNNY我永远爱你呜呜呜呜呜呜呜呜呜,2023-05-01 20:18:48,2023-05-01 20:18:48,True,3,0,0.565217375755310059,0,True,False,False,True,,186,False,,
76561198842551078,33,9,1058,974,329,2023-05-02 08:26:41,137612963,schinese,好好好,2023-05-01 20:11:14,2023-05-01 20:11:14,True,0,0,0,0,True,False,False,True,,3,False,,
76561198985812314,50,6,5948,3,5948,2023-05-01 02:21:49,137568782,schinese,omori;我永远的意难平,2023-05-01 02:23:15,2023-05-01 02:23:15,True,0,0,0,0,False,False,False,True,,13,False,,
76561199071873647,672,29,1441,0,1441,2022-04-09 03:22:11,137561524,schinese,什么时候能失忆重新玩一遍就好了,2023-05-01 00:19:06,2023-05-01 00:19:06,True,2,0,0.551616251468658447,0,True,False,False,True,,15,False,,
76561198987633652,65,9,1804,158,1804,2023-04-26 17:06:02,137552207,schinese,女鬼厨狂喜（打了30小时一周目就这感想吗,2023-04-30 21:40:12,2023-04-30 21:40:12,True,0,0,0,0,True,False,False,True,,20,False,,
76561199473809493,5,4,3598,0,3598,2023-04-17 19:11:10,137551037,schinese,omori是一款非常非常好的游戏....;我是打全成就的，一般24h就能过一周目，建议开bgm游玩，可能是我泪点比较低到后面合奏就有点蚌埠住了呜呜;角色性格都很鲜明，玩法比较简单，插图画风很有意思，整个下来给我一种自我救赎的感觉，小贵但不亏;前期不要急着想知道全部，到后面都会知道的，第一次玩务必记得存档！特别是自闭线!(那种重置了甜心城堡然后发现没打完又重新回档打的屑),2023-04-30 21:18:40,2023-04-30 21:18:40,True,0,0,0,0,True,False,False,True,,186,False,,
76561199193599452,11,1,1890,317,1889,2023-05-01 15:53:21,137545564,schinese,非常非常优秀的作品，不希望有人因其“心理恐怖”的标签而错过它！,2023-04-30 19:28:07,2023-04-30 19:28:07,True,0,0,0,0,True,False,False,True,,31,False,,
