word,count
时不时,2
手动,2
操作电脑,1
致命,2
不好,5
怎么弄,1
参考,2
放置,4
等等,2
各个方面,1
用心,2
制作,6
略显,2
考虑不周,1
实际,2
不多,2
状态,2
价格,2
对不起,1
Difficult,3
first,71
somewhat,6
general,6
easy,17
Also,13
cults,3
ascentions,1
especially,16
dlcs,3
Music,1
存档,28
覆盖,3
save,12
关掉,1
网络,1
依然,3
steam,12
auto,3
cloud,1
上网,1
云个,1
有时,2
成功,13
官方,4
禁止,1
sl,1
一脚,1
tm,5
升值,1
加薪,1
打出,4
gg,3
回头,1
回档,2
不认,1
铁了心,1
开新档,1
absolutely,18
amazing,11
unique,31
graphic,1
perfection,1
SO,3
MUCH,1
Yet,3
types,2
numerous,1
enjoying,6
lol,5
direct,1
guidance,8
Figuring,5
fan,11
layers,1
immersion,3
felt,12
mysterious,11
sounds,7
highly,8
Amazingly,1
addicting,10
plot,2
points,4
used,9
actual,11
HP,2
lovecraft,2
fairly,6
obtuse,17
buying,4
genuinely,3
likely,9
DLCs,4
priced,1
sort,10
Sublime,1
Don,13
life,29
Read,3
carefully,2
court,1
doom,2
年轻人,1
第一款,1
一位,4
资深,1
本作,10
经营,8
类卡牌,3
入坑,3
hr,4
叙事,15
无疑,4
语言,5
符号,1
纽带,1
构建,8
无形,4
之术,3
窥探,1
一隅,1
解密,5
枯燥,6
节奏,2
过于,3
缓慢,1
暴露,1
总的来说,3
缺乏,7
nice,11
horrible,3
picking,5
activities,2
highlighted,2
usable,2
holding,4
derive,1
enjoyment,6
clicking,4
dragging,3
highlights,2
isn,31
odd,4
mid,8
late,6
manually,4
organizing,3
million,1
losing,10
track,18
pulling,3
hair,1
accidentally,2
commit,2
other,61
action,26
thought,8
among,1
expired,2
change,11
selection,1
fundamental,2
should,26
available,4
health,7
passion,5
funds,6
UI,23
bars,2
similar,4
handle,2
Health,2
Points,2
Mana,1
locations,1
kind,23
map,3
inventory,2
fucking,5
menu,1
Nope,1
instead,26
these,10
massive,5
hope,10
majority,3
comes,9
managing,5
challenges,3
Seriously,2
seems,25
cruel,1
joke,1
Do,11
waste,4
money,20
如此,5
习惯,2
活着,1
愿意,4
以下,3
代表,8
观点,1
最让人,1
三十个,3
吸引,7
究极,1
谜语,4
存在,6
刚进,1
愉悦,2
bushi,1
接踵而来,1
暴毙,4
成就感,3
吸引力,2
认真,1
如何,13
消除,4
debuff,1
留意,2
召唤,5
繁复,3
中期,2
研究,13
循环,1
准备,1
好后,1
好像,1
踏入,1
仰视,1
诸神,1
翻阅,1
秘典,1
擢升,1
猎人,3
和长生,1
打赢,1
QAQ,1
勾心斗角,1
难道,3
不值,1
35,1
作对,1
整整,1
远征,1
回来,3
卡点,1
调查,1
毁灭,1
证据,7
非洲人,1
吊差,1
以前,2
GOG,1
摸鱼,1
这么,9
讲真,1
要不是,2
塑造,6
出来,12
禁忌,2
知识,4
成神,4
两版,1
Pretty,3
dont,4
deck,5
use,26
events,20
progressing,4
tho,3
several,10
sucks,6
knowing,9
Can,8
Good,17
delivery,1
slightly,3
lacking,1
Overall,6
calm,1
meditative,1
15,7
hrs,3
slow,14
careful,7
playthrough,14
less,16
risks,7
教头,3
unhelpful,2
其他人,2
明白,20
NPC,2
谈恋爱,6
阴暗,2
浪漫,1
还好,3
偷偷,1
老公,1
doi,1
接着,2
突然,7
出去,1
人头,1
完事,2
看着,4
七零八落,1
行尸,2
情意,1
浓浓的,1
时节,5
保养,1
侍奉,1
司辰,14
漫宿里,1
相见,1
而已,2
四局,1
上边,1
纯纯,2
下班,1
交钱,2
活命,1
模拟,5
adore,1
everyone,16
Sim,8
plays,3
based,23
board,22
heavy,5
emphasis,4
putting,3
fires,1
drip,3
fed,2
item,3
descriptions,6
steps,4
developed,2
internally,1
consistent,2
underground,1
scrape,1
whatever,5
small,5
knowledge,10
piece,9
harness,1
diving,2
Reading,1
mandatory,1
theorizing,1
draw,2
connections,2
deeply,7
intentionally,3
obfuscated,1
frustration,12
made,25
worse,5
fact,14
successful,1
defeat,5
wipe,1
major,13
flaw,4
bounced,1
three,9
four,4
before,32
stuck,9
waiting,17
enjoyed,13
House,1
Leaves,1
Underhanded,1
phone,6
Fallen,6
London,8
stories,6
Lovecraft,7
shot,6
There,48
another,21
coming,11
months,2
excited,1
type,13
torture,2
hate,10
twenty,1
hour,12
32,1
realize,9
elaborate,1
Indoctrination,1
scheme,1
exists,2
fuck,1
psyche,2
solid,3
intriguing,8
Only,5
sun,123
tHE,1
SUN,9
THE,19
SU,1
辛辛苦苦,3
整了,1
组织,1
招募,2
一堆,2
不仅,4
没法,4
他们,10
会费,1
经费,1
When,18
gave,2
negative,5
review,23
frustrated,5
drive,7
discovered,3
updated,1
thumbs,4
changing,2
involves,2
plugging,1
boxes,4
processed,1
flavour,8
strips,1
hoping,8
peripheral,1
finished,1
multiple,13
saying,2
nasty,1
habit,2
achievements,4
repetitive,19
Maybe,10
fresh,3
anyone,15
physically,3
cant,1
stop,15
head,13
remove,3
skin,5
body,2
无趣,1
沉迷于,1
天才,1
之作,3
期待,5
续作,1
废土,2
后世,2
依旧,1
早年间,1
深刻,1
进而,1
走上,1
创教,3
居民,1
十分,4
根本,7
停不下来,6
definitely,16
..,6
相对,4
完备,1
一坨,1
不说,1
概率,4
太多太多,1
尤其,6
走钢丝,1
还原,2
成道,1
困难,3
随便,4
两三张,1
远胜,1
人类,4
长生,5
必要,2
地方,7
简单,7
冗长,4
上上下下,1
100h,1
下来,4
东西,13
屈指可数,1
上面,3
折磨,5
硬撑,1
罢了,2
relationship,2
except,9
commonly,1
Dark,4
Souls,4
comparison,2
above,2
shit,10
main,11
special,7
knows,7
punish,3
drenched,1
mystique,3
point,23
possible,13
prepared,5
crush,1
specifically,3
call,4
New,5
aren,6
ended,8
Where,4
matters,4
Standard,1
effectively,1
added,2
condition,1
boost,1
Here,1
explains,2
solve,8
riddle,1
crack,2
punishment,1
Because,6
ONLY,1
runs,15
immediately,4
beating,3
standard,7
chance,6
20,17
Magnets,1
magnet,2
pulls,2
slot,9
whatsoever,6
pick,12
totally,3
invulnerable,1
investigators,1
misdirecting,1
hurts,1
items,9
wrong,14
Fascination,6
Dread,8
These,2
two,13
opposite,2
each,33
generally,2
represents,1
mania,1
depression,4
disillusion,1
timed,2
associated,2
worsens,1
improves,1
common,3
60,9
second,18
countdown,3
mods,3
usually,10
say,28
maybe,12
dozen,2
blatantly,1
cheating,3
CTRL,1
tic,2
opens,1
console,4
cjb,1
动不动,2
极差,1
endlessly,2
fascinating,12
forty,1
attain,1
constantly,15
engaged,3
mysteries,9
engrossing,1
ruining,3
premise,6
least,14
let,15
With,10
characters,3
permanent,1
death,11
roguelite,1
assure,1
disservice,2
various,8
playthroughs,10
simply,13
designed,2
analogy,1
language,4
equivalent,2
rubik,1
cube,1
told,6
conventional,1
information,9
presented,5
random,19
scribblings,1
recognize,2
tiles,3
demanding,1
parts,8
clues,3
proceed,3
My,22
unceremoniously,1
expect,6
sight,2
achieve,5
confuse,3
torment,1
somehow,8
masterpiece,6
Look,3
works,25
decipher,2
Even,10
achieving,3
wait,11
Exciting,1
despite,10
visuals,4
flavor,7
impeccable,1
tense,1
brain,11
共情,1
太多,5
有种,2
虚幻,1
platform,1
plenty,4
handy,1
Probably,2
genre,6
亲自,1
教团,3
简直,4
人间,1
之鉴,1
泪目,1
过差,1
refuses,2
guide,16
Runs,1
afterwards,4
unless,8
hardcore,1
masochist,1
urge,1
pursue,1
scientific,1
field,2
expected,8
Aspects,1
plus,1
minus,1
others,6
experiment,12
Brutal,1
loss,2
deliver,2
crazy,6
obsessive,2
url,16
store,6
steampowered,2
com,10
https,15
www,2
bilibili,2
video,11
BV1VT41157Yt,1
大家,3
Obtuse,1
profile,1
pic,1
received,1
leaves,2
devices,1
Extremely,2
gratifying,1
eventually,11
conquer,2
Punishing,2
Some,15
prose,2
